California:2005:Perognathus inornatus psammophilus
California:2005:Perognathus longimembris brevinasus
California:2005:Perognathus longimembris pacificus
California:2005:Perognathus longimembris salinensis
California:2005:Perognathus parvus xanthonotus
California:2005:Phrynosoma mcalli
California:2005:Pipilo aberti
California:2005:Piranga flava
California:2005:Piranga rubra
California:2005:Polyphylla anteronivea
California:2005:Polyphylla erratica
California:2005:Pomatiopsis binneyi
California:2005:Pseudogarypus orpheus
California:2005:Puma concolor browni
California:2005:Pyrgulopsis longae
California:2005:Pyrgulopsis taylori
California:2005:Pyrocephalus rubinus
California:2005:Rana pipiens
California:2005:Reithrodontomys megalotis distichlis
California:2005:Rhaphiomidas terminatus abdominalis
California:2005:Riparia riparia
California:2005:Scapanus latimanus parvus
California:2005:Scaphinotus behrensi
California:2005:Sceloporus graciosus graciosus
California:2005:Selasphorus rufus
California:2005:Sorex lyelli
California:2005:Sorex ornatus willetti
California:2005:Sorex vagrans paludivagus
California:2005:Sphyrapicus ruber
California:2005:Sterna forsteri
California:2005:Strix occidentalis caurina
California:2005:Strix occidentalis occidentalis
California:2005:Stygobromus harai
California:2005:Stygobromus mackenziei
California:2005:Thomomys bottae operarius
California:2005:Trigonoscuta brunnotesselata
California:2005:Trimerotropis infantilis
California:2005:Tryonia margae
California:2005:Uma inornata
California:2005:Uma scoparia
California:2005:Vireo vicinior
California:2005:Vulpes vulpes necator
California:2005:Xerarionta tryoni
California:2005:Zapus trinotatus orarius
California:2015:Ablautus schlingeri
California:2015:Abronia alpina
California:2015:Abronia villosa var. aurita
California:2015:Acmispon rubriflorus
California:2015:Ambrosia pumila
California:2015:Ambystoma macrodactylum croceum
California:2015:Ammopelmatus muwu
California:2015:Amsinckia grandiflora
California:2015:Anaxyrus californicus
California:2015:Anaxyrus canorus
California:2015:Antilocapra americana sonoriensis
California:2015:Antrozous pallidus
California:2015:Aplodontia rufa humboldtiana
California:2015:Aplodontia rufa nigra
California:2015:Arctocephalus townsendi
California:2015:Arctostaphylos bakeri ssp. sublaevis
California:2015:Arctostaphylos confertiflora
California:2015:Arctostaphylos crustacea ssp. eastwoodiana
California:2015:Arctostaphylos densiflora
California:2015:Arctostaphylos hookeri ssp. hearstiorum
California:2015:Arctostaphylos montana ssp. ravenii
California:2015:Arctostaphylos myrtifolia
California:2015:Arctostaphylos pacifica
California:2015:Arctostaphylos stanfordiana ssp. raichei
California:2015:Arctostaphylos tomentosa ssp. daciticola
California:2015:Ascaphus truei
California:2015:Assiminea infima
California:2015:Astragalus agnicidus
California:2015:Astragalus claranus
California:2015:Astragalus lentiginosus var. piscinensis
California:2015:Astragalus lentiginosus var. sesquimetralis
California:2015:Astragalus mohavensis var. hemigyrus
California:2015:Astragalus monoensis
California:2015:Astragalus pachypus var. jaegeri
California:2015:Astragalus preussii var. laxiflorus
California:2015:Astragalus tener var. ferrisiae
California:2015:Astragalus tener var. titi
California:2015:Astragalus tricarinatus
California:2015:Atriplex argentea var. longitrichoma
California:2015:Atriplex coronata var. notatior
California:2015:Aythya americana
California:2015:Banksula incredula
California:2015:Banksula rudolphi
California:2015:Bassariscus astutus yumanensis
California:2015:Blennosperma bakeri
California:2015:Bloomeria humilis
California:2015:Boechera constancei
California:2015:Boechera hoffmannii
California:2015:Boechera rubicundula
California:2015:Boechera shevockii
California:2015:Boechera ultraalsa
California:2015:Bombus suckleyi
California:2015:Branchinecta campestris
California:2015:Branchinecta lynchi
California:2015:Branta bernicla
California:2015:Bucephala islandica
California:2015:Calamagrostis foliosa
California:2015:Calicina breva
California:2015:Calicina conifera
California:2015:Calicina minor
California:2015:Calidris alba
California:2015:Calidris canutus
California:2015:Calileptoneta oasa
California:2015:Calochortus persistens
California:2015:Calochortus tiburonensis
California:2015:Capnia lacustra
California:2015:Carpenteria californica
California:2015:Carterocephalus palaemon magnus
California:2015:Castilleja affinis var. neglecta
California:2015:Castilleja campestris var. succulenta
California:2015:Castilleja uliginosa
California:2015:Castor canadensis frondator (incl. repentinus)
California:2015:Caulanthus amplexicaulis var. barbarae
California:2015:Ceanothus confusus
California:2015:Ceanothus ferrisiae
California:2015:Ceanothus maritimus
California:2015:Ceanothus masonii
California:2015:Centromadia parryi ssp. australis
California:2015:Centromadia pungens ssp. laevis
California:2015:Ceratochrysis bradleyi
California:2015:Ceratochrysis longimala
California:2015:Cervus elaphus nannodes
California:2015:Chaetura vauxi
California:2015:Chorizanthe howellii
California:2015:Chorizanthe orcuttiana
California:2015:Chorizanthe robusta var. hartwegii
California:2015:Chorizanthe robusta var. robusta
California:2015:Cicindela latesignata latesignata
California:2015:Cicindela tranquebarica ssp.
California:2015:Cirsium ciliolatum
California:2015:Cirsium fontinale var. fontinale
California:2015:Cirsium fontinale var. obispoense
California:2015:Cirsium scariosum var. loncholepis
California:2015:Clarkia lingulata
California:2015:Clarkia mosquinii
California:2015:Clarkia speciosa ssp. immaculata
California:2015:Clarkia springvillensis
California:2015:Coleonyx switaki
California:2015:Contopus cooperi
California:2015:Cordylanthus tenuis ssp. capillaris
California:2015:Corethrogyne filaginifolia var. linifolia
California:2015:Cottus klamathensis macrops
California:2015:Cottus perplexus
California:2015:Cryptantha traskiae
California:2015:Cylindropuntia californica var. californica
California:2015:Cypseloides niger
California:2015:Dedeckera eurekensis
California:2015:Deinandra bacigalupii
California:2015:Deinandra halliana
California:2015:Deinandra minthornii
California:2015:Delphinium bakeri
California:2015:Delphinium variegatum ssp. thornei
California:2015:Deltaspis ivae
California:2015:Dipodomys californicus eximius
California:2015:Dipodomys heermanni arenae
California:2015:Dipodomys heermanni berkeleyensis
California:2015:Dipodomys heermanni dixoni
California:2015:Dipodomys merriami collinus
California:2015:Dipodomys nitratoides nitratoides
California:2015:Draba asterophora var. macrocarpa
California:2015:Dudleya abramsii ssp. setchellii
California:2015:Dudleya brevifolia
California:2015:Dudleya cymosa ssp. agourensis
California:2015:Dudleya cymosa ssp. ovatifolia
California:2015:Dudleya nesiotica
California:2015:Dudleya verityi
California:2015:Dumontia oregonensis
California:2015:Echinocereus engelmannii var. howei
California:2015:Enceliopsis nudicaulis var. corrugata
California:2015:Eopsetta jordani
California:2015:Eremalche kernensis
California:2015:Eremarionta immaculata
California:2015:Eremarionta millepalmarum
California:2015:Eremarionta rowelli mccoiana
California:2015:Eremogone ursina
California:2015:Eriastrum ertterae
California:2015:Eriastrum tracyi
California:2015:Ericameria fasciculata
California:2015:Ericameria palmeri var. palmeri
California:2015:Eriodictyon altissimum
California:2015:Eriodictyon capitatum
California:2015:Eriogonum alexanderae
California:2015:Eriogonum alpinum
California:2015:Eriogonum crocatum
California:2015:Eriogonum grande var. timorum
California:2015:Eriogonum kennedyi var. austromontanum
California:2015:Eriogonum nudum var. decurrens
California:2015:Eriogonum twisselmannii
California:2015:Eriophyllum lanatum var. hallii
California:2015:Eriophyllum latilobum
California:2015:Eryngium aristulatum var. parishii
California:2015:Eryngium constancei
California:2015:Eryngium racemosum
California:2015:Erythranthe hardhamiae
California:2015:Erythranthe rhodopetra
California:2015:Erythranthe taylorii
California:2015:Eschscholzia rhombipetala
California:2015:Eubalaena japonica
California:2015:Euchloe hyantis andrewsi
California:2015:Eumetopias jubatus
California:2015:Euphorbia jaegeri
California:2015:Euphydryas editha bayensis
California:2015:Fremontodendron mexicanum
California:2015:Fritillaria biflora var. ineziana
California:2015:Fritillaria gentneri
California:2015:Fritillaria striata
California:2015:Galium angustifolium ssp. borregoense
California:2015:Galium californicum ssp. sierrae
California:2015:Gelochelidon nilotica
California:2015:Geothlypis trichas sinuosa
California:2015:Gilia capitata ssp. tomentosa
California:2015:Gilia tenuiflora ssp. hoffmannii
California:2015:Gulo gulo
