Connecticut:2015:Metarranthis apiciaria
Connecticut:2015:Micropterus dolomieu
Connecticut:2015:Micropterus salmoides
Connecticut:2015:Microtus pinetorum
Connecticut:2015:Mixogaster johnsoni
Connecticut:2015:Mniotilta varia
Connecticut:2015:Mustela vison
Connecticut:2015:Mustelis canis
Connecticut:2015:Mya arenaria
Connecticut:2015:Myodes gapperi
Connecticut:2015:Myotis leibii
Connecticut:2015:Myotis lucifugus
Connecticut:2015:Myotis septentrionalis
Connecticut:2015:Mytilus edulis
Connecticut:2015:Necturus maculosus
Connecticut:2015:Notemigonus crysoleucas
Connecticut:2015:Notropis bifrenatus
Connecticut:2015:Nyctanassa violacea
Connecticut:2015:Ondatra zibethicus
Connecticut:2015:Opheodrys vernalis
Connecticut:2015:Opsanus tau
Connecticut:2015:Ovalipes ocellatus
Connecticut:2015:Pandion haliaetus
Connecticut:2015:Panicum virgatum
Connecticut:2015:Papaipema duovata
Connecticut:2015:Papaipema leucostigma
Connecticut:2015:Papaipema marginidens
Connecticut:2015:Paraleptophlebia assimilis
Connecticut:2015:Parasa indetermina
Connecticut:2015:Parkesia motacilla
Connecticut:2015:Passerculus sandwichensis princeps
Connecticut:2015:Passerculus sandwichensis
Connecticut:2015:Petrochelidon pyrrhonota
Connecticut:2015:Pheucticus ludovicianus
Connecticut:2015:Phoca vitulina
Connecticut:2015:Phocoena phocoena phocoena
Connecticut:2015:Photedes inops
Connecticut:2015:Pinus rigida
Connecticut:2015:Pipilo erythrophthalmus
Connecticut:2015:Piranga olivacea
Connecticut:2015:Pityopsis falcata
Connecticut:2015:Podilymbus podiceps
Connecticut:2015:Polygonum glaucum
Connecticut:2015:Pomatiopsis lapidaria
Connecticut:2015:Porzana carolina
Connecticut:2015:Potamogeton hillii
Connecticut:2015:Potamogeton ogdenii
Connecticut:2015:Prionotus carolinus
Connecticut:2015:Prionotus evolans
Connecticut:2015:Progne subis
Connecticut:2015:Progomphus obscurus
Connecticut:2015:Prunus maritima var. gravesii
Connecticut:2015:Prunus pumila
Connecticut:2015:Psectraglaea carnosa
Connecticut:2015:Pseudopleuronectes americanus
Connecticut:2015:Pycnanthemum torrei
Connecticut:2015:Pyreferra ceromatica
Connecticut:2015:Pyrrhia aurantiago
Connecticut:2015:Quercus macrocarpa
Connecticut:2015:Quercus stellata
Connecticut:2015:Quercus velutina
Connecticut:2015:Rhododendron groelandicum
Connecticut:2015:Sarracenia purpurea
Connecticut:2015:Schinia spinosae
Connecticut:2015:Scolopax minor
Connecticut:2015:Scophthalmus aquosus
Connecticut:2015:Seiurus aurocapilla
Connecticut:2015:Setophaga caerulescens
Connecticut:2015:Setophaga cerulea
Connecticut:2015:Setophaga pensylvanica
Connecticut:2015:Sisyra fuscata
Connecticut:2015:Somatochlora elongata
Connecticut:2015:Speranza exonerata
Connecticut:2015:Spiraea alba
Connecticut:2015:Stagnicola catascopium
Connecticut:2015:Sterna dougallii
Connecticut:2015:Sterna hirundo
Connecticut:2015:Sternula antillarum
Connecticut:2015:Stonemyia isabellina
Connecticut:2015:Sturnella magna
Connecticut:2015:Stygobromus tenuis tenuis
Connecticut:2015:Stylurus amnicola
Connecticut:2015:Sympistis dentata
Connecticut:2015:Sympistis perscripta
Connecticut:2015:Sympistis riparia
Connecticut:2015:Synaptomys cooperi
Connecticut:2015:Syngnathus fuscus
Connecticut:2015:Tautogolabrus adspersus
Connecticut:2015:Thaumatopsis edonis
Connecticut:2015:Toxostoma rufum
Connecticut:2015:Trinectes maculatus
