American Samoa:2005:Aplonis tabuensis manuae/tutuilae
Kansas:2005:Heterodon nasicus
Kansas:2005:Heterodon platirhinos
Kansas:2005:Himantopus mexicanus
Kansas:2005:Hirundo rustica
Kansas:2005:Holbrookia maculata
Kansas:2005:Hybopsis amblops
Kansas:2005:Hydroperla fugitans
Kansas:2005:Hypentelium nigricans
Kansas:2005:Icterus bullockii
Kansas:2005:Icterus galbula
Kansas:2005:Icterus spurius
Kansas:2005:Ixobrychus exilis
Kansas:2005:Lampsilis cardium
Kansas:2005:Lampsilis rafinesqueana
Kansas:2005:Lampsilis siliquoidea
Kansas:2005:Lanius ludovicianus
Kansas:2005:Laterallus jamaicensis
Kansas:2005:Lepomis gulosus
Kansas:2005:Leptophlebia konza
Kansas:2005:Lepus townsendii
Kansas:2005:Ligumia recta
Kansas:2005:Limnodromus scolopaceus
Kansas:2005:Luxilus cardinalis
Kansas:2005:Luxilus cornutus
Kansas:2005:Macrhybopsis hyostoma
Kansas:2005:Macrhyhopsis tetranema
Kansas:2005:Macrochelys temminckii
Kansas:2005:Melanerpes erythrocephalus
Kansas:2005:Melanoplus beameri
Kansas:2005:Minytrema melanops
Kansas:2005:Moxostoma carinatum
Kansas:2005:Moxostoma erythrurum
Kansas:2005:Moxostoma macrolepidotum
Kansas:2005:Mustela nigripes
Kansas:2005:Myotis ciliolabrum
Kansas:2005:Myotis grisescens
Kansas:2005:Myotis lucifugus
Kansas:2005:Necturus louisianensis
Kansas:2005:Nocomis asper
Kansas:2005:Nocomis biguttatus
Kansas:2005:Nomotettix parvus
Kansas:2005:Notophtalmus viridescens
Kansas:2005:Notropis boops
Kansas:2005:Notropis nubilus
Kansas:2005:Notropis topeka
Kansas:2005:Noturus exilis
Kansas:2005:Noturus flavus
Kansas:2005:Noturus miurus
Kansas:2005:Noturus nocturnus
Kansas:2005:Numenius borealis
Kansas:2005:Nycticorax nycticorax
Kansas:2005:Obliquaria reflexa
Kansas:2005:Oporornis formosus
Kansas:2005:Orconectes diogenes
Kansas:2005:Orconectes macrus
Kansas:2005:Orconectes nais
Kansas:2005:Orconectes virilis
Kansas:2005:Passerina ciris
Kansas:2005:Pelecanus erythrorhynchos
Kansas:2005:Percina caprodes
Kansas:2005:Percina copelandi
Kansas:2005:Percina phoxocephala
Kansas:2005:Percina shumardi
Kansas:2005:Phalaenoptilus nuttallii
Kansas:2005:Phalaropus tricolor
Kansas:2005:Phoxinus erythrogaster
Kansas:2005:Phrynosoma cornutum
Kansas:2005:Platygobio gracilis
Kansas:2005:Pleurobema sintoxia
Kansas:2005:Pomatiopsis lapidaria
Kansas:2005:Potamilus alatus
Kansas:2005:Potamilus purpuratus
Kansas:2005:Procambarus gracilis
Kansas:2005:Procambarus simulans
Kansas:2005:Pseudacris crucifer
Kansas:2005:Ptychobranchus occidentalis
Kansas:2005:Puma concolor
Kansas:2005:Quadrula pustulosa
Kansas:2005:Quadrula quadrula
Kansas:2005:Rana clamitans
Kansas:2005:Recurvirostra americana
Kansas:2005:Rhinichthys obtusus
Kansas:2005:Rhinocheilus lecontei
Kansas:2005:Scaphirhynchus albus
Kansas:2005:Sistrurus catenatus
Kansas:2005:Spermophilus spilosoma
Kansas:2005:Spizella arborea
Kansas:2005:Thamnophis sirtalis annectens
Kansas:2005:Toxostoma curcirostre
Kansas:2005:Toxostoma rufum
Kansas:2005:Tryngites subruficollis
Kansas:2005:Tympanuchus cupido
Kansas:2005:Typhlotriton spelaeus
Kansas:2005:Tyrannus verticalis
Kansas:2005:Venustaconcha ellipsiformis
Kansas:2005:Virginia valeriae
Mississippi:2005:Etheostoma zonistium
Mississippi:2005:Haliaeetus leucocephalus
Mississippi:2005:Lasiurus intermedius
Mississippi:2005:Lasmigona complanata alabamensis
Mississippi:2005:Notropis amnis
Missouri:2005:Carex conoidea
Missouri:2005:Carex sychnocephala
Missouri:2005:Carex vesicaria var. monile
Missouri:2005:Carya pallida
Missouri:2005:Catocala marmorata
